,score,time,user,product
3733861,5.0,2015-07-02,ADXU0INFYFHFY,B005HYLQRA
7479703,5.0,2017-04-26,A1CLFVW9Z0QS88,B00VTJHRNY
6574075,3.0,2016-02-10,A3KBIT6NORBYA6,B00MJCF01Q
593352,5.0,2016-09-06,A3K2FD31I39K13,B000GXPP38
9008620,5.0,2017-01-24,A1VO80R4Z7ZM3F,B01DHLK7WE
845974,5.0,2014-01-20,A213257J8K3XAZ,B000NOXEJM
668341,5.0,2013-02-03,A4WEV11XSDZLC,B000IZEH3S
2468854,5.0,2016-04-27,A214W34F0Z78MX,B0025U0ZQW
997965,5.0,2014-07-28,A23RAZKNJLJ66P,B000SXXC4U
3172113,5.0,2015-10-08,A1SEO6WWUMFSGQ,B0048KGFHU
809195,5.0,2015-01-16,A1E9L5U3IHH1JU,B000N0YQ34
8705357,4.0,2017-12-22,AHYCMZKMTZKVW,B01AAGVWJG
7375484,5.0,2015-06-14,A2UY3C2VT6J1MB,B00UKMX8Y8
2878401,5.0,2014-11-29,A3OVJLMRHHU9WC,B003C7QWEG
9059988,5.0,2016-11-25,A2YQ2ZI65F37N8,B01E07XNH0
10302691,5.0,2017-04-21,A11YE6GROBDQK8,B0055480H6
6084584,5.0,2017-04-20,A19D4ZLS46TNFU,B00J7GQYK8
11944124,5.0,2017-11-07,APKBVI2JZCA71,B00QQNVCH0
1277557,4.0,2012-09-14,A1MFVAHTT2BHM0,B0014BD3DK
1266943,5.0,2015-12-07,A29A13ZA567ZO3,B00142FFDA
137505,5.0,2014-10-20,A1EXF4QMI4ABJE,B0002YSQ5U
7725155,5.0,2018-02-05,A37R0DRFA8ERAE,B00YNS7D9G
11547061,2.0,2016-12-07,ARZJCI1R1SPK8,B00JUI239Y
5160578,5.0,2016-05-02,A1MUW1KX6DMUPF,B00CWVPAU0
717331,5.0,2013-03-31,A1VSAU3OO8KVVL,B000KEJX7M
9063722,5.0,2018-08-31,A680RUE1FDO8B,B01E25VD72
4976182,5.0,2015-07-22,AK23S56B6O5D9,B00BQOG24M
4743447,3.0,2017-09-16,A2JKX2F1M12YBW,B00APP5AUU
429056,5.0,2015-04-21,A1JYCU2UUHYDI7,B000E8BJGW
7111836,5.0,2015-05-18,AWSQVD4Q04L5W,B00RMG305C
4776480,5.0,2017-04-07,A1AKXR950X4UP8,B00AU6D85S
8953313,5.0,2017-04-05,ABNCBKSI02NZD,B01CZMQQB2
2809781,5.0,2016-10-30,A20FMZR1LNNYJS,B0035M3GMO
4750391,5.0,2014-08-01,A2SWCMZJQ8MH53,B00AQOBYKA
3282545,4.0,2014-01-08,ADLT4I2JUZV5K,B004IKTJEG
2955220,5.0,2014-11-17,A3V81N6U4YOBCF,B003LMNJRK
9592567,5.0,2018-01-29,A2GTSFEAHPY4EL,B000R3CJJK
3764264,5.0,2016-07-05,A1MO7ZEPX1O3NV,B005KW7NA8
9864487,4.0,2017-11-22,A1NBG8YZOGKQDO,B001QC78GK
3083604,5.0,2014-08-09,AJLOK2KJ0MGU9,B0041EB6EU
4588078,5.0,2014-12-26,A1GWF3Y84BV15G,B009PAAI5I
9813058,5.0,2016-11-16,A3GWF0WF1BC81C,B001KWIC52
4867570,5.0,2016-03-03,A1AWHV87Y098GO,B00B73JXKC
1020483,5.0,2015-08-01,A3BTWI9H31L42U,B000U66XN2
1254525,4.0,2016-12-30,A2Z9GJTE4MYKJ7,B0013R67A6
3041039,5.0,2017-06-11,A2AFNRNLSH9C3Z,B003WY5MVI
1174064,4.0,2015-10-08,A2X20GPQ2VTO1Y,B0010W5PMK
189533,5.0,2014-05-30,A1KGVDGS4753UJ,B0007IS732
1135122,4.0,2013-02-11,A3JT5XR92IFRVL,B000YJPCLO
6168359,4.0,2017-05-05,AELGSF6A400FQ,B00JVXYR4W
359527,4.0,2007-06-13,A2JYOE9OH5NU1J,B000BNZ0M4
4222667,4.0,2012-10-09,A293VL9NIXP7D4,B007IGSWX6
1349725,5.0,2016-07-23,A1GDXAGO6AP9C6,B00162WMIY
3839010,5.0,2014-10-14,A2FZD64CWP7141,B005SWETD4
8002804,5.0,2015-09-01,A1Y1G0G909Z4RT,B0131AXO8K
1097749,4.0,2017-07-01,A20S7XV2JK0UXL,B000WYANAG
4584099,5.0,2013-12-21,A2RE4A2S8LN9WC,B009NKL462
531228,5.0,2015-05-19,A3GD3798H1944F,B000FIAU8O
399863,4.0,2015-10-20,A347GKGCGEULRR,B000C17HKS
3109682,5.0,2014-10-07,A99K7S15XOQ45,B0043AK0O4
10855331,5.0,2018-01-07,A2RBJ7BUDZQMYA,B00AUOG4UQ
7529424,4.0,2017-05-16,A1B2LEW6RAFIKN,B00WESJ930
4609798,3.0,2014-01-29,A2J5ASQLRWGPST,B009VUB0Q8
203735,5.0,2016-09-19,AR3JSFFDPPV15,B0007TAJ0K
3630720,5.0,2015-10-24,A2LO42WP1BE2TT,B005AUEN9O
6828892,5.0,2016-01-29,A1GZ9X9WHTMPL5,B00OHJDDPY
625673,5.0,2014-09-01,A22I55P15NSAOX,B000HHM5CM
1111617,3.0,2015-03-13,A22AGS2NKIUKVR,B000XJBC0U
8557759,5.0,2017-08-26,A29J4O6ZRLH5ME,B018RHTWO2
950376,5.0,2014-08-07,A3QHO4EATRLNQ4,B000QV3NWU
960058,5.0,2015-11-06,A5ZJNE2J0MASP,B000R9ACZC
3299820,4.0,2014-01-06,A1HKUCINZO0V2Q,B004JYNAAA
8050867,5.0,2017-02-22,A111Z02IT1AYXU,B013QLONKM
323907,5.0,2015-01-27,A1YPOSCA9T0ZI0,B000AXRY5Q
12908174,5.0,2018-08-05,A2RLPR7XYPFOUA,B01G10SS3S
4806707,5.0,2015-11-11,A22D3T4VOEHPNY,B00AZHFTNQ
3225555,5.0,2016-12-13,A1AE0UKT4Y0L78,B004D1UP7A
9324767,5.0,2016-07-30,A1KS1Y2TMVUTDP,B01GLBADE4
2142679,4.0,2014-12-30,A3UWXMVUYUBRD2,B001JO31QQ
6035654,4.0,2017-03-20,A1BP1QZLA890V1,B00IT8SHEQ
3464595,5.0,2016-07-10,AFOP5UY9D13HF,B004X1674A
3071707,4.0,2014-11-05,ANP0AC5FJISWH,B003ZV59FW
2704654,5.0,2015-08-18,A1I0M3Q4EHITHH,B002R8NWPS
2247502,5.0,2014-08-12,AKMV5HZGR833S,B001O00W4O
6243339,5.0,2014-07-05,AXYUV7EFQYKVN,B00KCCOVVU
4249009,5.0,2015-03-23,AGGAQLXPVGM5D,B007P3RTQI
5400323,5.0,2013-11-14,A24620I77R919P,B00ELVDM0Y
5578742,5.0,2015-09-18,A3X2HPT1MLSA1,B00FORB3EQ
2765894,5.0,2014-05-27,A1OTBUCLTFKLQU,B002ZVMJGK
4743261,5.0,2014-06-13,A1QK910YT288UQ,B00APNGEWA
8380542,4.0,2017-08-01,A16IUYWQQ9QT3K,B0172EV1QS
5813794,5.0,2016-02-06,APKBVI2JZCA71,B00HAMI53K
7200161,2.0,2015-09-13,A2WVN2VPY4SURM,B00SMX95IA
8104921,5.0,2015-12-01,A30R8VFR16RE32,B014A6VMDS
11066275,5.0,2018-03-29,A18H86DP92X57Y,B00DGCDCYA
6029757,4.0,2015-03-06,A1QW22UTMHYFJX,B00IRKA2XA
1890706,4.0,2014-07-11,A3FLQUP8SFDQQ7,B001B6CH0S
3229839,5.0,2013-06-18,A2WZ9K5DLYPYYL,B004D3ALOK
6738742,5.0,2014-12-30,A2LW5AL0KQ9P1M,B00NPZ7HWG
9888665,5.0,2017-07-20,AD38LZ0QV9ISF,B001U29FSK
6013096,3.0,2015-08-30,A19DDP9I6OG1N9,B00IN6NS2U
1228407,5.0,2015-11-25,A1B4S5K8UADL34,B00136IZ7U
790098,3.0,2018-01-21,A1C1KQL9FKCCO8,B000MH4CN2
609002,5.0,2016-11-06,A1KOX2MG6BNDJT,B000H8ZWYE
7736594,5.0,2016-11-30,A24CHN5V6BNLMM,B00YRIHYIW
12185455,5.0,2017-03-23,A25Y41ETKUUS6U,B00X8FJ4W4
5102133,5.0,2017-04-10,A1T37U1VGLUJ41,B00CJICDRY
6956806,5.0,2015-01-09,A619VF93I67O5,B00PSA6LKA
5064838,4.0,2014-11-17,A19Q4XTJXXC2ON,B00CBQV1BI
7318670,5.0,2014-11-08,A1XQ0F01CF84Y3,B00TZ900I4
2355275,5.0,2016-01-30,A24CO68BTQQWHC,B001S86S54
2288009,5.0,2017-11-25,AQFB2SO584BMY,B001PO5LNQ
8300742,5.0,2016-12-30,A1X1VCRFWIVP4G,B0167IYNLU
9408765,5.0,2011-06-16,A2WVF9ZQ068DN0,B01HHB2HK0
4121983,1.0,2017-06-14,A2WLBC0XKUOPZQ,B0072T3X38
893043,4.0,2011-12-01,A3OXHLG6DIBRW8,B000P3WPKK
3403041,5.0,2014-09-23,A1KOCUCWRG0944,B004TZ86M6
3452909,3.0,2016-10-23,A2GNW5N923EPCS,B004WBL5PW
424376,3.0,2015-11-01,A1G0HYMR02WM2W,B000E3FKTE
10444906,5.0,2018-06-16,A3C1QYGEET3BVY,B005X7IP3O
12749744,2.0,2017-06-05,A27O64EE2KWV3L,B01CHYWK2M
1965573,5.0,2015-05-25,A2YOOVEYZMR4D3,B001CYBD0Y
4946530,4.0,2017-01-28,AFTD903ODLIW4,B00BLTDIIK
4554780,4.0,2015-11-01,AKMUUYIG9Z52Y,B009EJJPZY
5436643,5.0,2016-04-07,A2JIYGPKJZTCQW,B00EUGCMA6
9162834,3.0,2018-04-02,A37NUV44T0FW1L,B01F3AADQ2
5512775,5.0,2017-04-19,A3ATC4RJOPGD2V,B00FATWGSU
5750091,5.0,2015-11-19,AZ9EXMA8Q8126,B00GT4QM62
5719456,5.0,2017-06-30,A1MPUO5K0ZFKHW,B00GMRQPPO
5627053,4.0,2015-09-15,AM7B7RNT99CC6,B00G3ZURYU
1875665,5.0,2015-12-27,A1HVJX7O12IIGP,B001AT3SCC
3969151,5.0,2014-11-10,A26JTCPCI3P9WR,B006FZLCTW
508384,5.0,2012-05-17,AIKQUNWRUPK4S,B000FDYK30
5618431,5.0,2016-07-13,A1GOWZ6TV00CPW,B00FZN2V4A
7102110,5.0,2015-12-30,A3OYM5LPWOZ2JW,B00RICU7CY
6308578,4.0,2016-10-19,A2FC60LP7U9CGV,B00KQ19X7E
5782023,5.0,2017-11-20,A22I55P15NSAOX,B00H1W33KE
5200682,5.0,2014-07-11,A1YBFANTSV8U4H,B00D809O06
4612910,5.0,2016-11-17,A1YBB5JIONHPM7,B009XDR0NK
3343318,5.0,2016-05-15,A36IM6RDECHP87,B004N5KK7G
10121526,4.0,2015-03-09,A35VTM2Z6FFJHC,B0044S817I
11128169,5.0,2017-01-29,A330Y77U45EEGO,B00E7UZJDM
458355,4.0,2013-07-23,A3E1B9HDD7MITM,B000ENQT30
8223458,5.0,2017-01-05,A1I80AB6MD453G,B015GFZTVS
8942778,4.0,2017-07-27,A2QREDVBYQ1LPP,B01CUXCNPO
4020313,5.0,2013-11-17,A2CM46I3XBXEO4,B006O0OMH2
5849916,4.0,2016-06-26,A2GQ8G1GHFQ66W,B00HJTH5L2
9203544,5.0,2017-04-16,A6W7Q3CEKZBZL,B01FH2Q8QK
6692377,4.0,2017-02-04,AARV75B4WRCXR,B00NGVPS7A
6664813,3.0,2015-11-16,A2ZACH5111O591,B00NAG4WX2
4079088,5.0,2016-05-31,A2I6ZR6KMO5SHT,B006YBXEVG
7338806,2.0,2016-12-06,A2E2G19PWFC7WZ,B00U6QVFAC
11351129,4.0,2018-03-22,A2ASNBNZ186TXP,B00H55I8J8
3253719,5.0,2016-08-27,A1CAIGUK1IP9I,B004EKNS3I
4824727,5.0,2013-04-04,A2JA7O80NV191Q,B00B1N0R6C
421669,5.0,2013-07-12,A1DIPVFBDL4W6R,B000E39T50
4957295,5.0,2016-06-20,A29XSSCAP6AESN,B00BN04QBA
4731473,4.0,2015-04-16,A3KBMKGYBBHBBJ,B00AMSZU1O
932735,3.0,2017-10-21,A2YCN265HB0XKX,B000PZZAAK
8291782,4.0,2016-12-05,A2NCQ9F0740TTA,B0161YTGBM
7219214,4.0,2016-02-16,A2IW5IW9HVMFIH,B00ST0KGCU
6225674,5.0,2015-09-07,A1IJGSREEPRSSZ,B00K97O96A
1152395,5.0,2016-09-07,A3TREG7FBS49TI,B000ZKPHDU
2601324,3.0,2015-11-27,A15D2X8MICR2VQ,B002EAU9Z0
10003588,2.0,2017-06-17,A2CMNYQNX7P4SI,B0030N0810
11232477,3.0,2017-08-22,ASQGLLN634GM0,B00FK8WDGG
138045,5.0,2017-11-07,AGHGG7YTXI2QB,B0002YRJ62
7124788,5.0,2015-05-04,A19DDP9I6OG1N9,B00RSMZGC0
3332758,5.0,2017-12-13,A2PP36SF7GHUIW,B004M37FYA
2923863,5.0,2016-08-31,A2I27S48Y59RH0,B003ITBKV8
8162418,5.0,2017-11-25,A1NZ006V30TUA3,B014W9SY4I
1898801,5.0,2015-03-06,A39NWYUH8EH73I,B001BH3RK6
1231168,5.0,2014-10-05,A23JCC8ACECBZ5,B0013AMPLS
5305049,4.0,2018-05-21,A1UK9AVCT7J8CF,B00DWKUAZK
3009151,5.0,2015-05-30,A1A4OQFZVYYZ6B,B003SHBL00
6507191,5.0,2014-11-03,A8VI7KMUHI7ZH,B00LYY0YE8
3168992,5.0,2017-04-18,A2FCV7R5O4PTR4,B0048KDDFW
2306461,4.0,2015-01-30,A3ETB0VMA9UXKK,B001PTHKRQ
2117220,5.0,2014-07-12,A1K0I7X8P4SIYJ,B001HBURMM
6938864,5.0,2017-08-18,A196JHAX1R2AIR,B00PJ7U8EM
12328512,5.0,2018-06-14,AU9G03JVEXTNQ,B01233P36M
4768216,3.0,2015-07-20,AHPTFHERGIR1I,B00AU677Z0
3009184,4.0,2015-03-07,A1NQMBRCEW2O1L,B003SHBL00
9459255,3.0,2017-12-04,A2P3VOAH3Y58MK,B000AO5IYO
2175270,4.0,2016-04-06,A26C5OJO6YF2CK,B001LNLNCY
9618017,3.0,2018-01-06,A38UMI11OTZ43L,B000VT2HKQ
4693328,5.0,2017-04-18,A1HVJX7O12IIGP,B00AEGE9C0
6718565,4.0,2015-01-10,A2ANBQNCPD8LO0,B00NLAZ3SA
4525704,5.0,2015-02-22,A9NOCPP6SYNJT,B0098FEUXQ
1167522,5.0,2014-04-29,A2K7VEOJIM1MEI,B0010HFAKC
7227024,5.0,2015-09-06,A24PTHRXFOKFDN,B00SVE9WEC
2367117,5.0,2011-07-09,A35HUT8MQMT21L,B001TD9J04
327977,1.0,2012-10-20,A1E9BNKOSRIYCB,B000B55AJU
149765,3.0,2015-07-15,A1TTC7M9XYTSZK,B000677XAC
11061801,4.0,2018-01-12,A1KSVD1Z1UQKJ4,B00DEAFPF8
958848,2.0,2012-07-19,A27LQM2N6Y9OAG,B000R786Z2
3496240,5.0,2015-02-17,A38ZUYF9YHAIRC,B004YIC9YE
7403402,3.0,2016-04-18,A1B4S5K8UADL34,B00UY16ZKO
8550809,3.0,2016-03-10,A7H1LWFBE905R,B018NTCL7E
11500485,5.0,2017-09-04,AGQIA2H8FLOHY,B00J5DH9ES
814946,5.0,2015-06-10,A2B501SHSUD8IO,B000N8LDX2
5865067,5.0,2015-11-14,ARVXIL2AZGMBI,B00HNSLBNM
7565068,5.0,2017-07-22,A19HN9S8CUK7O2,B00WSP4ULA
2909864,5.0,2016-08-02,A3V2FM5OECG11L,B003GB1HEI
3709073,3.0,2015-08-25,A2760RUK7WP9CG,B005GOU6V8
1247682,5.0,2014-06-29,A3TMH3ESKQN3L4,B0013L2DKU
6906032,5.0,2016-11-06,A32PIBP87GWOQ3,B00P8NETYW
2830977,5.0,2014-07-06,A1FRIBXUEIRNQ3,B0037KMI50
9688487,5.0,2017-10-19,A2KPR8WH3U9812,B00162TC5U
2780331,5.0,2014-07-30,A3O6S1GJ5LEBWX,B0031D0G4I
11502752,5.0,2015-09-05,A1JYSIXCQ6RNGG,B00J73G6E0
10753524,1.0,2018-04-17,A2XFNP1B6LYXRJ,B009I5DY6K
5361127,4.0,2014-10-08,ANCPX1WJYIWMA,B00EA4AVQK
2032101,5.0,2015-12-28,A4YV49T8Y0X94,B001EV6WZG
2585280,5.0,2013-11-15,AE8WRSFL21Q5T,B002DMKIEG
7814458,5.0,2018-03-29,ARU0ZEAIJGD3V,B00ZWNGZFO
4876633,4.0,2014-08-24,A22RIIYSPA3EDH,B00B8BHIAU
833040,5.0,2016-07-11,AWKS4L5IPC2BA,B000NJY1YO
1019696,5.0,2016-09-15,AAS8B94FAF01L,B000U59YFM
3713115,5.0,2014-12-11,A1UYZEBGMW65FY,B005GVKMII
7296254,5.0,2017-05-02,A8AXYSBIYN2BW,B00TQI319O
2122699,5.0,2016-04-05,A38NHXL5257E3B,B001HWHY8Q
635600,3.0,2015-03-16,A17YZSB0ZPCWU9,B000HXREW2
5882954,5.0,2015-06-20,A28EMTHVF120XV,B00HSEFIVC
6505647,2.0,2017-04-03,A35Q0RBM3YNQNF,B00LY9P6BY
3341620,5.0,2015-12-23,A1JO7V03TQRB2D,B004N0DCKI
3706512,5.0,2013-06-06,A2REHWZ3SBRMSL,B005GEYKLA
379799,5.0,2017-08-02,A2SFJAVY30X6Y5,B000BT7E8Q
3749617,5.0,2013-04-27,A2AP56WEH2P2RV,B005J6J11E
4695435,5.0,2017-04-08,A288M3JLXX9LJ9,B00AEV07RQ
8400024,5.0,2015-12-31,A3MJW8OU9FZXRV,B01780EY2Y
8300481,4.0,2016-02-16,A24LD8FA0B92WN,B0167IYGH6
2932628,5.0,2017-01-12,A24JA3KUW42D9Q,B003JFOZEU
2015478,5.0,2014-09-08,A3W400E8PUFM0Y,B001ECQPUW
6776055,4.0,2016-08-26,ATG0QL3DXMIR0,B00O0F3BMU
681581,4.0,2017-02-04,A3HC16NEP91XRP,B000JC2ZHA
4585311,4.0,2014-07-08,ATPKR8MJ155MK,B009O0CZYG
6894593,5.0,2017-09-30,A2H0L88EJ2WJM,B00P3D8GNM
9095399,5.0,2017-08-29,APZOXDBMQ56XQ,B01EEKGGW2
8875412,4.0,2015-09-02,A19WEEGB05YAZ3,B01C45GM32
5201578,5.0,2015-10-06,AZTR7IC4Z9PX5,B00D88A2EK
4770269,5.0,2015-09-27,AQ33KSTPEPVDP,B00AU67BEM
3714631,5.0,2015-03-08,A1D6MQK3CP2YYJ,B005GXYWEG
2615835,4.0,2016-12-12,AS6SH2JM2YY3H,B002GJY338
4955096,5.0,2013-07-06,AA91O96C1Z18W,B00BMTMPFQ
12751799,5.0,2018-08-18,AL8XU9S3X68KY,B01CJKUHME
2091171,5.0,2016-08-11,A3T1YPAKK5WJFS,B001GPR0WE
3450896,5.0,2015-11-15,A3HSDV9Y0TV5Z2,B004WA63IC
3019808,5.0,2016-03-26,A3NC01WSYMH4L8,B003TWXA2Q
3150279,3.0,2013-02-08,A2GEZK7H9ZCR9W,B0046O0FJW
8890132,5.0,2016-03-27,A10B1TXA36HP2W,B01C7YACQ8
5771525,5.0,2016-03-17,A1DX578XX2FRD8,B00GY8KOFI
8090333,4.0,2016-02-05,A1SH4OXMPPGQXQ,B0146A2STU
903483,5.0,2014-07-29,A2CXA2BNMGWBKT,B000P9GZSW
2997333,5.0,2014-01-27,A1LLDYRGAEC5OW,B003RLE1PO
377293,5.0,2015-03-10,A3IWJJ9PEUWHMR,B000BSZDNK
9721395,5.0,2017-12-23,AWR7O77J9JVNP,B001ABPBI4
10763173,5.0,2018-04-08,AVQAUIPKA3KP6,B009NS3DH2
7506816,5.0,2016-04-22,A2B0NBYHTAATOU,B00W2HSXZ8
10880707,5.0,2017-12-15,A1MWI1A4290WVX,B00B49SMSI
4492690,4.0,2017-01-04,A21NREICO6ICY8,B0093IS0GQ
5710106,5.0,2017-08-20,A1SDPOZTBGS10V,B00GLV3VBC
7655572,5.0,2017-11-19,A19CDWWUOMXRHD,B00XPV4C7S
2597077,2.0,2015-05-31,A2KF6QYQA7LO0P,B002E6X460
3559641,5.0,2015-09-28,A174BBGE21P9NL,B0053RW6EI
4975360,5.0,2014-07-18,A3DJOJARWE90DY,B00BQ9Y1TK
3450346,4.0,2015-06-15,A3X9NDEYWYLAC,B004W7HQL8
2940261,4.0,2012-12-12,A3E9QI5H6VHXFD,B003JWEUI4
1842857,3.0,2016-04-17,A1LO3M1C7LUPT9,B001A4N47G
5610859,4.0,2014-07-15,A2XXBZPQT5EXHV,B00FWJG3M8
6512351,4.0,2017-09-26,AKAGTDYA5GMSH,B00M0I7A30
9392053,4.0,2016-12-10,A3K3SE4RK846WO,B01H8CZ91M
703143,5.0,2016-08-24,A3SEL48F3IR0U9,B000K2ILJ0
8442518,4.0,2017-09-04,A23I738USCNCBM,B017KU1DHQ
2513905,5.0,2014-01-31,AG35JCCQWDRCS,B0028MH70E
3166662,5.0,2012-02-26,AYZT7VZ9X4EX7,B004898DQ2
1255157,5.0,2016-10-28,A2NWW7I3A5NO8W,B0013RBCZG
2637401,4.0,2012-04-25,A36NFTN922LJT2,B002KN3728
9287486,5.0,2017-01-17,AZ09CUQDJ4U3T,B01G97YKQ2
6072780,5.0,2017-04-22,AZLV7H5MFK4RE,B00J39VU9Y
4034723,5.0,2015-04-03,A1Q01YYN5L9J3S,B006PH6BK0
816694,5.0,2016-04-04,A36T6M2PC1HI0H,B000N8MUM0
2596081,5.0,2017-10-13,A256QUITY7SKSY,B002E6V3KY
5763906,5.0,2016-12-16,A2DF50X62AFH5W,B00GWLTHLE
4886353,5.0,2015-11-12,A14JD4Q68QV1DO,B00BAFBUMG
10163794,3.0,2016-02-02,A2A4AK0PW1CS1O,B004E465TS
6642231,2.0,2015-02-24,AMZCZBK1EF1PV,B00N2PBURW
8202755,5.0,2017-07-26,A11GUFZ1776OBE,B0159W9OAU
2545142,5.0,2016-09-09,A5DHIFSSOA1B2,B002B2P5NC
5813796,5.0,2016-02-05,A3B18FJTI9V2O0,B00HAMI53K
1968351,5.0,2015-01-28,A16QKH496Q7TBU,B001CZHY9W
5285631,5.0,2014-11-15,AV0B6NGGOAISO,B00DRKBVFI
380487,3.0,2015-01-23,A22CLUHV8UC96K,B000BT8VPQ
1101372,5.0,2016-07-08,A3H547Y1OBJ172,B000X3EP7I
4804962,5.0,2015-01-09,ADXMAJ5ZZ537M,B00AZ7Y202
7148273,3.0,2017-01-14,A2K7XSUCGLP1PV,B00S2P2J90
8336089,5.0,2016-10-07,A3EXW4HNYX7HF5,B016LMQCUC
12334482,5.0,2016-02-10,A21KJRAQ1QXGKJ,B012BNC14Q
8320335,5.0,2016-08-10,A35K1FNE06IRQJ,B016CZ6UQO
7265555,5.0,2017-05-07,A2GAADJ9YMV9EU,B00TD0UEGI
7667941,5.0,2016-01-26,AK5Q5YNBAAIKY,B00XUCSTNU
9131336,3.0,2016-06-22,A1UVFC0XEDDSZE,B01ERN8JOO
3268186,5.0,2017-01-31,A1GMPOPZ39LYAR,B004HE3QVU
2960692,5.0,2016-02-13,A1MD64U6O0RT17,B003M71N4A
9310113,4.0,2016-09-11,A35Q0RBM3YNQNF,B01GG1N5MQ
5102490,5.0,2015-10-22,A3ESHIYH70T5TU,B00CJJAQ5Y
7230317,5.0,2015-08-31,A3HN9VDMMOXXY1,B00SXHQP4C
6718457,5.0,2016-01-25,A3HQAPXAJV7PRX,B00NLAGYAQ
12281577,5.0,2016-11-11,A2JRW4MSCTVWQT,B010ERPE2C
4925553,5.0,2014-12-21,AHPJLD8YZZ135,B00BHOR7NG
